District,Headquarter,Population,Area,Density,state
Dewas,Dewas,"1,563,107","7,020",223,Madhya Pradesh (MP)
Dhar,Dhar,"2,184,672","8,153",268,Madhya Pradesh (MP)
Dindori,Dindori,"704,218","7,427",94,Madhya Pradesh (MP)
Guna,Guna,"1,240,938","6,485",194,Madhya Pradesh (MP)
Gwalior,Gwalior,"2,030,543","5,465",445,Madhya Pradesh (MP)
Harda,Harda,"570,302","3,339",171,Madhya Pradesh (MP)
Hoshangabad,Hoshangabad,"1,240,975","6,698",185,Madhya Pradesh (MP)
Indore,Indore,"3,272,335","3,898",839,Madhya Pradesh (MP)
Jabalpur,Jabalpur,"2,460,714","5,210",472,Madhya Pradesh (MP)
Jhabua,Jhabua,"1,024,091","6,782",285,Madhya Pradesh (MP)
Katni,Katni,"1,291,684","4,947",261,Madhya Pradesh (MP)
Khandwa (East Nimar),Khandwa,"1,309,443","7,349",178,Madhya Pradesh (MP)
Khargone (West Nimar),Khargone,"1,872,413","8,010",233,Madhya Pradesh (MP)
Maihar,Maihar, –, –, –,Madhya Pradesh (MP)
Mandla,Mandla,"1,053,522","5,805",182,Madhya Pradesh (MP)
Mandsaur,Mandsaur,"1,339,832","5,530",242,Madhya Pradesh (MP)
Morena,Morena,"1,965,137","4,991",394,Madhya Pradesh (MP)
Narsinghpur,Narsinghpur,"1,092,141","5,133",213,Madhya Pradesh (MP)
Nagda,Nagda, –, –, –,Madhya Pradesh (MP)
Neemuch,Neemuch,"825,958","4,267",194,Madhya Pradesh (MP)
Niwari,Niwari, –, –, –,Madhya Pradesh (MP)
Panna,Panna,"1,016,028","7,135",142,Madhya Pradesh (MP)
Raisen,Raisen,"1,331,699","8,466",157,Madhya Pradesh (MP)
Rajgarh,Rajgarh,"1,546,541","6,143",251,Madhya Pradesh (MP)
Ratlam,Ratlam,"1,454,483","4,861",299,Madhya Pradesh (MP)
Rewa,Rewa,"2,363,744","6,314",374,Madhya Pradesh (MP)
Sagar,Sagar,"2,378,295","10,252",272,Madhya Pradesh (MP)
Satna,Satna,"2,228,619","7,502",297,Madhya Pradesh (MP)
Sehore,Sehore,"1,311,008","6,578",199,Madhya Pradesh (MP)
Seoni,Seoni,"1,378,876","8,758",157,Madhya Pradesh (MP)
Shahdol,Shahdol,"1,064,989","6,205",172,Madhya Pradesh (MP)
Shajapur,Shajapur,"1,512,353","6,196",244,Madhya Pradesh (MP)
Sheopur,Sheopur,"687,952","6,585",104,Madhya Pradesh (MP)
Shivpuri,Shivpuri,"1,725,818","10,290",168,Madhya Pradesh (MP)
Sidhi,Sidhi,"1,126,515","10,520",232,Madhya Pradesh (MP)
Singrauli,Waidhan,"1,178,132","5,672",208,Madhya Pradesh (MP)
Tikamgarh,Tikamgarh,"1,444,920","5,055",286,Madhya Pradesh (MP)
Ujjain,Ujjain,"1,986,864","6,091",356,Madhya Pradesh (MP)
Umaria,Umaria,"643,579","4,062",158,Madhya Pradesh (MP)
Vidisha,Vidisha,"1,458,212","7,362",198,Madhya Pradesh (MP)
,Madhya Pradesh (MP),,,,
Ahmednagar,Ahmednagar,"4,543,083","17,048",266,Maharashtra (MH)
Akola,Akola,"1,818,617","5,429",321,Maharashtra (MH)
Amravati,Amravati,"2,887,826","12,235",237,Maharashtra (MH)
Aurangabad,Aurangabad,"3,695,928","10,107",365,Maharashtra (MH)
Beed,Beed,"2,585,962","10,693",242,Maharashtra (MH)
Bhandara,Bhandara,"1,198,810","3,890",293,Maharashtra (MH)
Buldhana,Buldhana,"2,588,039","9,661",268,Maharashtra (MH)
Chandrapur,Chandrapur,"2,194,262","11,443",192,Maharashtra (MH)
Dhule,Dhule,"2,048,781","8,095",285,Maharashtra (MH)
Gadchiroli,Gadchiroli,"1,071,795","14,412",74,Maharashtra (MH)
Gondia,Gondia,"1,322,331","5,431",253,Maharashtra (MH)
Hingoli,Hingoli,"1,178,973","4,526",244,Maharashtra (MH)
Jalgaon,Jalgaon,"4,224,442","11,765",359,Maharashtra (MH)
Jalna,Jalna,"1,958,483","7,718",255,Maharashtra (MH)
Kolhapur,Kolhapur,"3,874,015","7,685",504,Maharashtra (MH)
Latur,Latur,"2,455,543","7,157",343,Maharashtra (MH)
Mumbai City,Mumbai,"3,145,966",69,"20,038",Maharashtra (MH)
Mumbai suburban,Bandra (East),"9,332,481",369,"20,925",Maharashtra (MH)
Nanded,Nanded,"3,356,566","10,528",319,Maharashtra (MH)
Nandurbar,Nandurbar,"1,646,177","5,055",276,Maharashtra (MH)
Nagpur,Nagpur,"4,653,171","9,892",470,Maharashtra (MH)
Nashik,Nashik,"6,109,052","15,539",393,Maharashtra (MH)
Osmanabad,Osmanabad,"1,660,311","7,569",219,Maharashtra (MH)
Palghar,Palghar,"2,990,116","5,344",560,Maharashtra (MH)
Parbhani,Parbhani,"1,835,982","6,511",295,Maharashtra (MH)
Pune,Pune,"9,426,959","15,643",603,Maharashtra (MH)
Raigad,Alibag,"2,635,394","7,152",368,Maharashtra (MH)
Ratnagiri,Ratnagiri,"1,612,672","8,208",196,Maharashtra (MH)
Sangli,Sangli,"2,820,575","8,572",329,Maharashtra (MH)
Satara,Satara,"3,003,922","10,475",287,Maharashtra (MH)
Sindhudurg,Oros,"848,868","5,207",163,Maharashtra (MH)
Solapur,Solapur,"4,315,527","14,895",290,Maharashtra (MH)
Thane,Thane,"11,060,148","4,214","1,157",Maharashtra (MH)
Wardha,Wardha,"1,296,157","6,309",205,Maharashtra (MH)
Washim,Washim,"1,196,714","5,155",244,Maharashtra (MH)
Yavatmal,Yavatmal,"2,775,457","13,582",204,Maharashtra (MH)
Bishnupur,Bishnupur,"240,363",496,415,Manipur (MN)
Chandel,Chandel,"144,028","3,317",37,Manipur (MN)
Churachandpur,Churachandpur,"271,274","4,574",50,Manipur (MN)
Imphal East,Porompat,"452,661",710,555,Manipur (MN)
Imphal West,Lamphelpat,"514,683",519,847,Manipur (MN)
Jiribam,Jiribam,"43,818",232,190,Manipur (MN)
Kakching,Kakching,"135,481", –, –,Manipur (MN)
Kamjong,Kamjong,"45,616","2,000",23,Manipur (MN)
Kangpokpi,Kangpokpi, –, –, –,Manipur (MN)
Noney,Noney (Longmai), –, –, –,Manipur (MN)
Pherzawl,Pherzawl,"47,250","2,285",21,Manipur (MN)
Senapati,Senapati,"354,772","3,269",116,Manipur (MN)
Tamenglong,Tamenglong,"140,143","4,391",25,Manipur (MN)
Tengnoupal,Tengnoupal, –, –, –,Manipur (MN)
Thoubal,Thoubal,"420,517",514,713,Manipur (MN)
Ukhrul,Ukhrul,"183,115","4,547",31,Manipur (MN)
East Garo Hills,Williamnagar,"317,618","2,603",121,Meghalaya (ML)
